SMILES,ATSc5,ATSc3,ALogP,ATSc4,BCUTp-1l,BCUTc-1h,ALogp2,BCUTw-1h,SaasC,MDEC-22,CrippenLogP,BCUTp-1h,hmax,minHBa,maxsOH,XLogP,minsOH,minsCH3,ATSc2,minHBd,Caco-2,CYP3A4,hERG,HOB,MN
Oc1ccc2O[C@H]([C@H](Sc2c1)C3CCCC3)c4ccc(OCCN5CCCCC5)cc4,-0.5135,-1.07477,-0.97344,1.02002,0.81326,-0.24089,-0.24988,0.40106,0.65492,1.27953,0.42235,0.96538,-0.23737,-1.24761,0.53995,1.05303,0.61518,-1.28833,-0.05599,0.2187,0,1,1,0,0
Oc1ccc2O[C@H]([C@H](Sc2c1)C3CCCCCC3)c4ccc(OCCN5CCCCC5)cc4,-0.5135,-1.07477,-1.37505,1.02002,0.83314,-0.24063,-0.19835,0.40106,0.66711,1.84956,0.93096,1.23867,-0.23737,-1.26182,0.56196,1.75755,0.63785,-1.28833,-0.05599,0.09046,0,1,1,0,0
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCCCC5)cc4,-0.37615,-1.24326,-0.26534,1.11303,0.2253,-1.04054,-0.21477,0.40106,1.05819,1.2514,0.82307,1.06979,0.178,-1.3308,0.54204,-0.00067,0.56075,-1.28833,-0.1919,0.29299,0,1,1,0,1
Oc1ccc2O[C@H]([C@@H](CC3CCCCC3)Sc2c1)c4ccc(OCCN5CCCCC5)cc4,-0.51086,-1.07528,-0.99604,1.01798,0.80366,-0.24064,-0.24835,0.40106,0.65541,1.78546,0.93096,0.8333,-0.23737,-1.25348,0.55367,1.88818,0.62931,-1.28833,-0.05548,0.13766,0,1,1,0,0
Oc1ccc2O[C@H]([C@@H](Cc3ccccc3)Sc2c1)c4ccc(OCCN5CCCCC5)cc4,-0.4452,-1.09737,0.17078,0.96098,0.80168,-0.24064,-0.11316,0.40106,1.16332,1.78546,0.45657,0.80611,-0.02412,-1.28316,0.54591,0.92673,0.62133,-1.28833,-0.04209,0.24759,0,1,1,0,0
Oc1ccc2O[C@H]([C@H](Sc2c1)c3ccncc3)c4ccc(OCCN5CCCCC5)cc4,-0.66064,-1.09296,-1.04742,1.26319,0.81696,-0.24057,-0.24427,0.40106,1.05027,1.2514,-0.07544,1.01623,0.15254,-1.30912,0.53878,-0.48109,0.61398,-1.28833,-0.38092,0.32505,0,1,1,0,1
Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24Cc5ccc(OCCN6CCCCC6)cc5C4,-0.30548,-0.7611,0.28261,0.90946,0.19733,-1.10766,-0.07728,-0.59842,1.88388,2.0759,0.50592,1.38012,-0.59149,-0.09548,0.57814,0.81405,0.57852,-1.28833,0.32402,0.06634,0,1,1,0,1
Oc1ccc2O[C@H]([C@H](Sc2c1)c3occc3)c4ccc(OCCN5CCCCC5)cc4,0.17582,-1.50359,-0.84474,0.94018,0.78868,-0.24054,-0.25545,0.40106,0.86361,0.97426,0.04112,0.62749,0.25422,-1.31766,0.52571,0.01728,0.60052,-1.28833,-0.38854,0.41622,0,1,1,0,1
Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24Cc5ccccc5C4,0.09054,-0.06326,1.26243,-0.09419,0.19426,-1.11192,0.40853,-0.59848,1.523,0.85693,-0.05777,1.29543,-0.83807,2.05168,0.53093,0.87473,0.53628,-1.28833,1.24924,0.29443,0,1,0,0,0
Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24C(=O)c5ccccc5C4=O,0.90261,-0.52026,0.25842,-0.92078,0.20308,-0.21851,-0.08538,-0.59836,-0.31947,0.07941,-0.78906,1.53543,0.38794,2.0427,0.52162,-0.76897,0.52874,-1.28833,0.96909,0.40995,0,1,0,1,1
