value,length,kind
0.102996826,6,Symmetric encryption by Raspberry Pi
0.034809113,6,Symmetric encryption by Raspberry Pi
0.032663345,6,Symmetric encryption by Raspberry Pi
0.031471252,6,Symmetric encryption by Raspberry Pi
0.030994415,6,Symmetric encryption by Raspberry Pi
0.031232834,6,Symmetric encryption by Raspberry Pi
0.030994415,6,Symmetric encryption by Raspberry Pi
0.030994415,6,Symmetric encryption by Raspberry Pi
0.030517578,6,Symmetric encryption by Raspberry Pi
0.030755997,6,Symmetric encryption by Raspberry Pi
0.03027916,6,Symmetric encryption by Raspberry Pi
0.030040741,6,Symmetric encryption by Raspberry Pi
0.030517578,6,Symmetric encryption by Raspberry Pi
0.030040741,6,Symmetric encryption by Raspberry Pi
0.030994415,6,Symmetric encryption by Raspberry Pi
0.030040741,6,Symmetric encryption by Raspberry Pi
0.03027916,6,Symmetric encryption by Raspberry Pi
0.030040741,6,Symmetric encryption by Raspberry Pi
0.03027916,6,Symmetric encryption by Raspberry Pi
0.03027916,6,Symmetric encryption by Raspberry Pi
0.030517578,6,Symmetric encryption by Raspberry Pi
0.03027916,6,Symmetric encryption by Raspberry Pi
0.03027916,6,Symmetric encryption by Raspberry Pi
0.03027916,6,Symmetric encryption by Raspberry Pi
0.030517578,6,Symmetric encryption by Raspberry Pi
0.030040741,6,Symmetric encryption by Raspberry Pi
0.030040741,6,Symmetric encryption by Raspberry Pi
0.03027916,6,Symmetric encryption by Raspberry Pi
0.029802322,6,Symmetric encryption by Raspberry Pi
0.032424927,6,Symmetric encryption by Raspberry Pi
0.031709671,6,Symmetric encryption by Raspberry Pi
0.03027916,6,Symmetric encryption by Raspberry Pi
0.030517578,6,Symmetric encryption by Raspberry Pi
0.03027916,6,Symmetric encryption by Raspberry Pi
0.030040741,6,Symmetric encryption by Raspberry Pi
0.03027916,6,Symmetric encryption by Raspberry Pi
0.035524368,6,Symmetric encryption by Raspberry Pi
0.030517578,6,Symmetric encryption by Raspberry Pi
0.029802322,6,Symmetric encryption by Raspberry Pi
0.03027916,6,Symmetric encryption by Raspberry Pi
0.03027916,6,Symmetric encryption by Raspberry Pi
0.030040741,6,Symmetric encryption by Raspberry Pi
0.029802322,6,Symmetric encryption by Raspberry Pi
0.03027916,6,Symmetric encryption by Raspberry Pi
0.043869019,6,Symmetric encryption by Raspberry Pi
0.031709671,6,Symmetric encryption by Raspberry Pi
0.030755997,6,Symmetric encryption by Raspberry Pi
0.030517578,6,Symmetric encryption by Raspberry Pi
0.03027916,6,Symmetric encryption by Raspberry Pi
0.03027916,6,Symmetric encryption by Raspberry Pi
0.03027916,6,Symmetric encryption by Raspberry Pi
0.03027916,6,Symmetric encryption by Raspberry Pi
0.030517578,6,Symmetric encryption by Raspberry Pi
0.03027916,6,Symmetric encryption by Raspberry Pi
0.030517578,6,Symmetric encryption by Raspberry Pi
0.030040741,6,Symmetric encryption by Raspberry Pi
0.03027916,6,Symmetric encryption by Raspberry Pi
0.03027916,6,Symmetric encryption by Raspberry Pi
0.030517578,6,Symmetric encryption by Raspberry Pi
0.03194809,6,Symmetric encryption by Raspberry Pi
0.030517578,6,Symmetric encryption by Raspberry Pi
0.029802322,6,Symmetric encryption by Raspberry Pi
0.029802322,6,Symmetric encryption by Raspberry Pi
0.030040741,6,Symmetric encryption by Raspberry Pi
0.030517578,6,Symmetric encryption by Raspberry Pi
0.030040741,6,Symmetric encryption by Raspberry Pi
0.030040741,6,Symmetric encryption by Raspberry Pi
0.030040741,6,Symmetric encryption by Raspberry Pi
0.029563904,6,Symmetric encryption by Raspberry Pi
0.030040741,6,Symmetric encryption by Raspberry Pi
0.030040741,6,Symmetric encryption by Raspberry Pi
0.030517578,6,Symmetric encryption by Raspberry Pi
0.029802322,6,Symmetric encryption by Raspberry Pi
0.03027916,6,Symmetric encryption by Raspberry Pi
0.030040741,6,Symmetric encryption by Raspberry Pi
0.03027916,6,Symmetric encryption by Raspberry Pi
0.03027916,6,Symmetric encryption by Raspberry Pi
0.03027916,6,Symmetric encryption by Raspberry Pi
0.029802322,6,Symmetric encryption by Raspberry Pi
0.029802322,6,Symmetric encryption by Raspberry Pi
0.03027916,6,Symmetric encryption by Raspberry Pi
0.030040741,6,Symmetric encryption by Raspberry Pi
0.029802322,6,Symmetric encryption by Raspberry Pi
0.03027916,6,Symmetric encryption by Raspberry Pi
0.03528595,6,Symmetric encryption by Raspberry Pi
0.035047531,6,Symmetric encryption by Raspberry Pi
0.030040741,6,Symmetric encryption by Raspberry Pi
0.03027916,6,Symmetric encryption by Raspberry Pi
0.030040741,6,Symmetric encryption by Raspberry Pi
0.03027916,6,Symmetric encryption by Raspberry Pi
0.033855438,6,Symmetric encryption by Raspberry Pi
0.030040741,6,Symmetric encryption by Raspberry Pi
0.030040741,6,Symmetric encryption by Raspberry Pi
0.030040741,6,Symmetric encryption by Raspberry Pi
0.029802322,6,Symmetric encryption by Raspberry Pi
0.03027916,6,Symmetric encryption by Raspberry Pi
0.029802322,6,Symmetric encryption by Raspberry Pi
0.030040741,6,Symmetric encryption by Raspberry Pi
0.029563904,6,Symmetric encryption by Raspberry Pi
0.029563904,6,Symmetric encryption by Raspberry Pi
0.051259995,7,Symmetric encryption by Raspberry Pi
0.037193298,7,Symmetric encryption by Raspberry Pi
0.035524368,7,Symmetric encryption by Raspberry Pi
0.03528595,7,Symmetric encryption by Raspberry Pi
0.035524368,7,Symmetric encryption by Raspberry Pi
0.048398972,7,Symmetric encryption by Raspberry Pi
0.035047531,7,Symmetric encryption by Raspberry Pi
0.034093857,7,Symmetric encryption by Raspberry Pi
0.03361702,7,Symmetric encryption by Raspberry Pi
0.033855438,7,Symmetric encryption by Raspberry Pi
0.033378601,7,Symmetric encryption by Raspberry Pi
0.035524368,7,Symmetric encryption by Raspberry Pi
0.033855438,7,Symmetric encryption by Raspberry Pi
0.033855438,7,Symmetric encryption by Raspberry Pi
0.033855438,7,Symmetric encryption by Raspberry Pi
0.033855438,7,Symmetric encryption by Raspberry Pi
0.03361702,7,Symmetric encryption by Raspberry Pi
0.03361702,7,Symmetric encryption by Raspberry Pi
0.03361702,7,Symmetric encryption by Raspberry Pi
0.03361702,7,Symmetric encryption by Raspberry Pi
0.03361702,7,Symmetric encryption by Raspberry Pi
0.03361702,7,Symmetric encryption by Raspberry Pi
0.034332275,7,Symmetric encryption by Raspberry Pi
0.03361702,7,Symmetric encryption by Raspberry Pi
0.033855438,7,Symmetric encryption by Raspberry Pi
0.033855438,7,Symmetric encryption by Raspberry Pi
0.03361702,7,Symmetric encryption by Raspberry Pi
0.064134598,7,Symmetric encryption by Raspberry Pi
0.041246414,7,Symmetric encryption by Raspberry Pi
0.034809113,7,Symmetric encryption by Raspberry Pi
0.03361702,7,Symmetric encryption by Raspberry Pi
0.034332275,7,Symmetric encryption by Raspberry Pi
0.034809113,7,Symmetric encryption by Raspberry Pi
0.034093857,7,Symmetric encryption by Raspberry Pi
0.034093857,7,Symmetric encryption by Raspberry Pi
0.034332275,7,Symmetric encryption by Raspberry Pi
0.034093857,7,Symmetric encryption by Raspberry Pi
0.033855438,7,Symmetric encryption by Raspberry Pi
0.034093857,7,Symmetric encryption by Raspberry Pi
0.033855438,7,Symmetric encryption by Raspberry Pi
0.03361702,7,Symmetric encryption by Raspberry Pi
0.034093857,7,Symmetric encryption by Raspberry Pi
0.034093857,7,Symmetric encryption by Raspberry Pi
